Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,Player_URL
WU Tharanga (Asia/SL),2005-2019,235,223,17,6951,174*,33.74,9155,75.92,15,37,17,http://stats.espncricinfo.com/ci/content/player/50747.html
MG Bevan (AUS),1994-2004,232,196,67,6912,108*,53.58,9320,74.16,6,46,5,http://stats.espncricinfo.com/ci/content/player/4144.html
Tamim Iqbal (BDESH),2007-2019,204,202,8,6892,154,35.52,8865,77.74,11,47,18,http://stats.espncricinfo.com/ci/content/player/56194.html
G Kirsten (SA),1993-2003,185,185,19,6798,188*,40.95,9436,72.04,13,45,11,http://stats.espncricinfo.com/ci/content/player/45813.html
A Flower (ZIM),1992-2003,213,208,16,6786,145,35.34,9097,74.59,4,55,13,http://stats.espncricinfo.com/ci/content/player/55427.html
IVA Richards (WI),1975-1991,187,167,24,6721,189*,47,7451,90.2,11,45,7,http://stats.espncricinfo.com/ci/content/player/52812.html
MJ Guptill (NZ),2009-2019,179,176,19,6626,237*,42.2,7586,87.34,16,35,15,http://stats.espncricinfo.com/ci/content/player/226492.html
Mohammad Hafeez (PAK),2003-2019,218,216,15,6614,140*,32.9,8633,76.61,11,38,19,http://stats.espncricinfo.com/ci/content/player/41434.html
GW Flower (ZIM),1992-2010,221,214,18,6571,142*,33.52,9723,67.58,6,40,18,http://stats.espncricinfo.com/ci/content/player/55429.html
Ijaz Ahmed (PAK),1986-2000,250,232,29,6564,139*,32.33,8174,80.3,10,37,14,http://stats.espncricinfo.com/ci/content/player/40551.html
AR Border (AUS),1979-1994,273,252,39,6524,127*,30.62,9134,71.42,3,39,11,http://stats.espncricinfo.com/ci/content/player/4174.html
Shakib Al Hasan (BDESH),2006-2019,206,194,27,6323,134*,37.86,7641,82.75,9,47,10,http://stats.espncricinfo.com/ci/content/player/56143.html
BRM Taylor (ZIM),2004-2019,193,192,15,6293,145*,35.55,8256,76.22,10,38,15,http://stats.espncricinfo.com/ci/content/player/55814.html
RB Richardson (WI),1983-1996,224,217,30,6248,122,33.41,9801,63.74,5,44,8,http://stats.espncricinfo.com/ci/content/player/52810.html
ML Hayden (AUS/ICC),1993-2008,161,155,15,6133,181*,43.8,7767,78.96,10,36,9,http://stats.espncricinfo.com/ci/content/player/5616.html
KS Williamson (NZ),2010-2019,149,142,14,6132,148,47.9,7494,81.82,13,39,5,http://stats.espncricinfo.com/ci/content/player/277906.html
Mushfiqur Rahim (BDESH),2006-2019,216,202,34,6100,144,36.3,7718,79.03,7,37,10,http://stats.espncricinfo.com/ci/content/player/56029.html
BB McCullum (NZ),2002-2016,260,228,28,6083,166,30.41,6312,96.37,5,32,20,http://stats.espncricinfo.com/ci/content/player/37737.html
DM Jones (AUS),1984-1994,164,161,25,6068,145,44.61,8362,72.56,7,46,6,http://stats.espncricinfo.com/ci/content/player/6044.html
DC Boon (AUS),1984-1995,181,177,16,5964,122,37.04,9157,65.13,5,37,6,http://stats.espncricinfo.com/ci/content/player/4169.html
JN Rhodes (SA),1992-2003,245,220,51,5935,121,35.11,7336,80.9,2,33,12,http://stats.espncricinfo.com/ci/content/player/46973.html
JE Root (ENG),2013-2019,143,135,21,5856,133*,51.36,6702,87.37,16,33,4,http://stats.espncricinfo.com/ci/content/player/303669.html
Rameez Raja (PAK),1985-1997,198,197,15,5841,119*,32.09,9226,63.31,9,31,15,http://stats.espncricinfo.com/ci/content/player/42420.html
AD Mathews (SL),2008-2019,214,184,48,5812,139*,42.73,6974,83.33,3,40,15,http://stats.espncricinfo.com/ci/content/player/49764.html
RR Sarwan (WI),2000-2013,181,169,33,5804,120*,42.67,7663,75.74,5,38,8,http://stats.espncricinfo.com/ci/content/player/52969.html
CL Hooper (WI),1987-2003,227,206,43,5761,113*,35.34,7517,76.63,7,29,7,http://stats.espncricinfo.com/ci/content/player/52066.html
SR Watson (AUS),2002-2015,190,169,27,5757,185*,40.54,6365,90.44,9,33,12,http://stats.espncricinfo.com/ci/content/player/8180.html
S Dhawan (INDIA),2010-2020,136,133,7,5688,143,45.14,6050,94.01,17,29,5,http://stats.espncricinfo.com/ci/content/player/28235.html
H Masakadza (ZIM),2001-2019,209,208,4,5658,178*,27.73,7728,73.21,5,34,15,http://stats.espncricinfo.com/ci/content/player/55608.html
SK Raina (INDIA),2005-2018,226,194,35,5615,116*,35.31,6005,93.5,5,36,14,http://stats.espncricinfo.com/ci/content/player/33335.html
MN Samuels (WI),2000-2018,207,196,26,5606,133*,32.97,7463,75.11,10,30,11,http://stats.espncricinfo.com/ci/content/player/52983.html
WJ Cronje (SA),1992-2000,188,175,31,5565,112,38.64,7277,76.47,2,39,8,http://stats.espncricinfo.com/ci/content/player/44485.html
F du Plessis (SA),2011-2019,143,136,20,5507,185,47.47,6215,88.6,12,35,3,http://stats.espncricinfo.com/ci/content/player/44828.html
MEK Hussey (AUS),2004-2012,185,157,44,5442,109*,48.15,6243,87.16,3,39,3,http://stats.espncricinfo.com/ci/content/player/5939.html
IR Bell (ENG),2004-2015,161,157,14,5416,141,37.87,7019,77.16,4,35,6,http://stats.espncricinfo.com/ci/content/player/9062.html
A Jadeja (INDIA),1992-2000,196,179,36,5359,119,37.47,7677,69.8,6,30,10,http://stats.espncricinfo.com/ci/content/player/29632.html
DR Martyn (AUS),1992-2006,208,182,51,5346,144*,40.8,6877,77.73,5,37,10,http://stats.espncricinfo.com/ci/content/player/6513.html
G Gambhir (INDIA),2003-2013,147,143,11,5238,150*,39.68,6144,85.25,11,34,11,http://stats.espncricinfo.com/ci/content/player/28763.html
ADR Campbell (ZIM),1992-2003,188,184,14,5185,131*,30.5,7834,66.18,7,30,11,http://stats.espncricinfo.com/ci/content/player/55301.html
RS Mahanama (SL),1986-1999,213,198,23,5162,119*,29.49,8521,60.57,4,35,15,http://stats.espncricinfo.com/ci/content/player/49626.html
DA Warner (AUS),2009-2020,119,117,6,5136,179,46.27,5353,95.94,18,20,2,http://stats.espncricinfo.com/ci/content/player/219889.html
CG Greenidge (WI),1975-1991,128,127,13,5134,133*,45.03,7908,64.92,11,31,3,http://stats.espncricinfo.com/ci/content/player/51901.html
Misbah-ul-Haq (PAK),2002-2015,162,149,31,5122,96*,43.4,6945,73.75,0,42,6,http://stats.espncricinfo.com/ci/content/player/41378.html
JP Duminy (SA),2004-2019,199,179,40,5117,150*,36.81,6052,84.55,4,27,7,http://stats.espncricinfo.com/ci/content/player/44932.html
PD Collingwood (ENG),2001-2011,197,181,37,5092,120*,35.36,6614,76.98,5,26,7,http://stats.espncricinfo.com/ci/content/player/10772.html
A Symonds (AUS),1998-2009,198,161,33,5088,156,39.75,5504,92.44,6,30,15,http://stats.espncricinfo.com/ci/content/player/7702.html
Abdul Razzaq (Asia/PAK),1996-2011,265,228,57,5080,112,29.7,6252,81.25,3,23,14,http://stats.espncricinfo.com/ci/content/player/39836.html
CL Cairns (ICC/NZ),1991-2006,215,193,25,4950,115,29.46,5874,84.26,4,26,9,http://stats.espncricinfo.com/ci/content/player/36597.html
Q de Kock (SA),2013-2019,115,115,6,4907,178,45.01,5154,95.2,14,24,3,http://stats.espncricinfo.com/ci/content/player/379143.html
Aamer Sohail (PAK),1990-2000,156,155,5,4780,134,31.86,7297,65.5,5,31,10,http://stats.espncricinfo.com/ci/content/player/38967.html
AJ Finch (AUS),2013-2020,122,118,3,4721,153*,41.05,5281,89.39,16,24,11,http://stats.espncricinfo.com/ci/content/player/5334.html
CD McMillan (NZ),1997-2007,197,183,16,4707,117,28.18,6198,75.94,3,28,9,http://stats.espncricinfo.com/ci/content/player/37712.html
MD Crowe (NZ),1982-1995,143,140,18,4704,107*,38.55,6476,72.63,4,34,3,http://stats.espncricinfo.com/ci/content/player/36622.html
MV Boucher (Afr/SA),1998-2011,295,221,57,4686,147*,28.57,5528,84.76,1,26,16,http://stats.espncricinfo.com/ci/content/player/44111.html
AJ Stewart (ENG),1989-2003,170,162,14,4677,116,31.6,6841,68.36,4,28,13,http://stats.espncricinfo.com/ci/content/player/20372.html
SB Styris (NZ),1999-2011,188,161,23,4483,141,32.48,5645,79.41,4,28,9,http://stats.espncricinfo.com/ci/content/player/38407.html
KP Pietersen (ENG/ICC),2004-2013,136,125,16,4440,130,40.73,5128,86.58,9,25,7,http://stats.espncricinfo.com/ci/content/player/19296.html
NS Sidhu (INDIA),1987-1998,136,127,8,4413,134*,37.08,6329,69.72,6,33,7,http://stats.espncricinfo.com/ci/content/player/34028.html
CZ Harris (NZ),1990-2004,250,213,62,4379,130,29,6583,66.51,1,16,12,http://stats.espncricinfo.com/ci/content/player/37232.html
GR Marsh (AUS),1986-1992,117,115,6,4357,126*,39.97,7790,55.93,9,22,4,http://stats.espncricinfo.com/ci/content/player/6499.html
E Chigumbura (Afr/ZIM),2004-2018,213,198,26,4340,117,25.23,5423,80.02,2,19,17,http://stats.espncricinfo.com/ci/content/player/55343.html
ME Trescothick (ENG),2000-2006,123,122,6,4335,137,37.37,5087,85.21,12,21,13,http://stats.espncricinfo.com/ci/content/player/21585.html
GA Gooch (ENG),1976-1995,125,122,6,4290,142,36.98,6932,61.88,8,23,4,http://stats.espncricinfo.com/ci/content/player/13399.html
AJ Strauss (ENG),2003-2011,127,126,8,4205,158,35.63,5195,80.94,6,27,9,http://stats.espncricinfo.com/ci/content/player/20387.html
PR Stirling (IRE),2008-2020,117,114,2,4121,177,36.79,4750,86.75,8,24,10,http://stats.espncricinfo.com/ci/content/player/303427.html
WTS Porterfield (IRE),2006-2020,139,136,3,4091,139,30.75,5916,69.15,11,17,9,http://stats.espncricinfo.com/ci/content/player/24611.html
K Srikkanth (INDIA),1981-1992,146,145,4,4091,123,29.01,5702,71.74,4,27,11,http://stats.espncricinfo.com/ci/content/player/34103.html
SPD Smith (AUS),2010-2020,121,106,12,4039,164,42.96,4648,86.89,9,24,5,http://stats.espncricinfo.com/ci/content/player/267192.html
