Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,Player_URL
IS Billcliff (CAN),2003-2009,19,19,0,529,93,27.84,793,66.7,0,4,0,http://stats.espncricinfo.com/ci/content/player/23850.html
SCJ Broad (ENG),2006-2016,121,68,25,529,45*,12.3,709,74.61,0,0,8,http://stats.espncricinfo.com/ci/content/player/10617.html
NN Odhiambo (KENYA),2006-2014,69,53,9,528,66,12,737,71.64,0,1,9,http://stats.espncricinfo.com/ci/content/player/238612.html
B Kumar (INDIA),2012-2019,114,52,15,526,53*,14.21,703,74.82,0,1,8,http://stats.espncricinfo.com/ci/content/player/326016.html
Naved-ul-Hasan (PAK),2003-2010,74,51,18,524,33,15.87,620,84.51,0,0,4,http://stats.espncricinfo.com/ci/content/player/42272.html
Amjad Ali (UAE),2008-2015,17,17,0,520,98,30.58,680,76.47,0,3,0,http://stats.espncricinfo.com/ci/content/player/39745.html
LK Germon (NZ),1994-1997,37,31,5,519,89,19.96,787,65.94,0,3,2,http://stats.espncricinfo.com/ci/content/player/37101.html
Mudassar Bukhari (NL),2007-2014,46,34,4,516,71,17.2,671,76.9,0,2,4,http://stats.espncricinfo.com/ci/content/player/245166.html
TAM Siriwardana (SL),2015-2019,27,24,1,516,66,22.43,525,98.28,0,3,1,http://stats.espncricinfo.com/ci/content/player/222354.html
KM Dabengwa (ZIM),2005-2010,37,34,7,514,45,19.03,851,60.39,0,0,4,http://stats.espncricinfo.com/ci/content/player/55388.html
PK Amre (INDIA),1991-1994,37,30,5,513,84*,20.52,799,64.2,0,2,1,http://stats.espncricinfo.com/ci/content/player/26238.html
Dawlat Zadran (AFG),2011-2019,82,56,27,513,47*,17.68,664,77.25,0,0,7,http://stats.espncricinfo.com/ci/content/player/516561.html
KD Walters (AUS),1971-1981,28,24,6,513,59,28.5,732,70.08,0,2,1,http://stats.espncricinfo.com/ci/content/player/8151.html
JG Bracewell (NZ),1983-1990,53,43,12,512,43,16.51,717,71.4,0,0,6,http://stats.espncricinfo.com/ci/content/player/36306.html
DP Viljoen (ZIM),1997-2001,53,43,7,512,63*,14.22,827,61.91,0,2,5,http://stats.espncricinfo.com/ci/content/player/55825.html
JM Brearley (ENG),1977-1980,25,24,3,510,78,24.28,1120,45.53,0,3,6,http://stats.espncricinfo.com/ci/content/player/9208.html
WD Parnell (SA),2009-2017,65,38,14,508,56,21.16,648,78.39,0,1,3,http://stats.espncricinfo.com/ci/content/player/265564.html
AO Suji (KENYA),1996-2008,60,46,7,506,67,12.97,977,51.79,0,1,1,http://stats.espncricinfo.com/ci/content/player/24723.html
AN Petersen (SA),2006-2013,21,19,1,504,80,28,610,82.62,0,4,0,http://stats.espncricinfo.com/ci/content/player/46934.html
Taufeeq Umar (PAK),2001-2011,22,22,1,504,81*,24,895,56.31,0,3,0,http://stats.espncricinfo.com/ci/content/player/43363.html
PR Reiffel (AUS),1992-1999,92,57,21,503,58,13.97,709,70.94,0,1,5,http://stats.espncricinfo.com/ci/content/player/7326.html
AR Nurse (WI),2016-2019,54,40,14,502,44,19.3,513,97.85,0,0,2,http://stats.espncricinfo.com/ci/content/player/315594.html
JE Emburey (ENG),1980-1993,61,45,10,501,34,14.31,664,75.45,0,0,3,http://stats.espncricinfo.com/ci/content/player/12514.html
Ghulam Shabber (UAE),2017-2019,23,23,0,500,90,21.73,800,62.5,0,4,2,http://stats.espncricinfo.com/ci/content/player/950303.html
GP Swann (ENG),2000-2013,79,48,12,500,34,13.88,553,90.41,0,0,3,http://stats.espncricinfo.com/ci/content/player/20431.html
JH Davey (SCOT),2010-2019,31,28,6,497,64,22.59,742,66.98,0,2,2,http://stats.espncricinfo.com/ci/content/player/407265.html
JJ Tucker (BMUDA),2006-2009,26,26,1,496,52,19.84,726,68.31,0,1,1,http://stats.espncricinfo.com/ci/content/player/23694.html
DJ Callaghan (SA),1992-2000,29,25,6,493,169*,25.94,726,67.9,1,0,2,http://stats.espncricinfo.com/ci/content/player/44416.html
Mohammad Mithun (BDESH),2014-2019,24,21,2,493,63,25.94,659,74.81,0,4,1,http://stats.espncricinfo.com/ci/content/player/269237.html
Naimur Rahman (BDESH),1995-2002,29,27,2,488,47,19.52,771,63.29,0,0,3,http://stats.espncricinfo.com/ci/content/player/56035.html
JWM Dalrymple (ENG),2006-2007,27,26,1,487,67,19.48,672,72.47,0,2,2,http://stats.espncricinfo.com/ci/content/player/11974.html
AC Cummins (CAN/WI),1991-2007,76,49,13,486,44*,13.5,586,82.93,0,0,4,http://stats.espncricinfo.com/ci/content/player/51488.html
R McLaren (SA),2009-2014,54,41,15,485,71*,18.65,680,71.32,0,1,3,http://stats.espncricinfo.com/ci/content/player/46393.html
MRJ Veletta (AUS),1987-1989,20,19,4,484,68*,32.26,642,75.38,0,2,2,http://stats.espncricinfo.com/ci/content/player/8105.html
CS Baugh (WI),2003-2012,47,35,11,482,49,20.08,719,67.03,0,0,2,http://stats.espncricinfo.com/ci/content/player/51446.html
AA Mulla (CAN),2006-2009,24,24,0,482,58,20.08,595,81,0,1,2,http://stats.espncricinfo.com/ci/content/player/23899.html
SR Patel (ENG),2008-2013,36,22,7,482,70*,32.13,517,93.23,0,1,1,http://stats.espncricinfo.com/ci/content/player/18632.html
CD Wallace (SCOT),2012-2019,28,24,1,482,58,20.95,527,91.46,0,4,1,http://stats.espncricinfo.com/ci/content/player/414971.html
DJ Reekers (NL),2006-2009,19,19,0,481,104,25.31,411,117.03,1,0,3,http://stats.espncricinfo.com/ci/content/player/38261.html
TN de Grooth (NL),2006-2013,34,32,4,480,97,17.14,774,62.01,0,1,1,http://stats.espncricinfo.com/ci/content/player/25022.html
DA Minors (BMUDA),2006-2007,20,20,2,478,68,26.55,791,60.42,0,3,1,http://stats.espncricinfo.com/ci/content/player/23688.html
BG Rogers (ZIM),2002-2005,15,15,0,478,84,31.86,689,69.37,0,5,2,http://stats.espncricinfo.com/ci/content/player/55736.html
S Lee (AUS),1995-2001,45,35,8,477,47,17.66,500,95.4,0,0,3,http://stats.espncricinfo.com/ci/content/player/6282.html
Karim Sadiq (AFG),2009-2016,24,22,2,475,114*,23.75,587,80.91,2,0,3,http://stats.espncricinfo.com/ci/content/player/319758.html
MA Leask (SCOT),2014-2019,34,28,6,474,59*,21.54,437,108.46,0,3,1,http://stats.espncricinfo.com/ci/content/player/414966.html
CA Best (WI),1986-1992,24,23,4,473,100,24.89,690,68.55,1,2,2,http://stats.espncricinfo.com/ci/content/player/51221.html
AJ Bichel (AUS),1997-2004,67,36,13,471,64,20.47,600,78.5,0,1,5,http://stats.espncricinfo.com/ci/content/player/4146.html
L Siaka (PNG),2014-2019,25,25,0,471,109,18.84,626,75.23,1,1,4,http://stats.espncricinfo.com/ci/content/player/440990.html
H Patel (CAN),2009-2013,23,23,1,468,62,21.27,584,80.13,0,2,3,http://stats.espncricinfo.com/ci/content/player/414248.html
MD Shanaka (SL),2016-2019,22,19,1,468,68,26,404,115.84,0,3,1,http://stats.espncricinfo.com/ci/content/player/437316.html
CH Morris (SA),2013-2019,42,27,4,467,62,20.3,465,100.43,0,1,0,http://stats.espncricinfo.com/ci/content/player/439952.html
ALF de Mel (SL),1982-1987,57,41,9,466,36,14.56,595,78.31,0,0,6,http://stats.espncricinfo.com/ci/content/player/48447.html
RL Chase (WI),2017-2020,27,20,3,459,94,27,604,75.99,0,2,2,http://stats.espncricinfo.com/ci/content/player/391832.html
AO Malhotra (INDIA),1982-1986,20,19,4,457,65,30.46,645,70.85,0,1,0,http://stats.espncricinfo.com/ci/content/player/30912.html
Umar Gul (PAK),2003-2016,130,65,18,457,39,9.72,642,71.18,0,0,10,http://stats.espncricinfo.com/ci/content/player/43524.html
C Sharma (INDIA),1983-1994,65,35,16,456,101*,24,504,90.47,1,0,3,http://stats.espncricinfo.com/ci/content/player/33949.html
GEF Barnett (CAN),2006-2010,22,22,0,455,77,20.68,745,61.07,0,1,1,http://stats.espncricinfo.com/ci/content/player/36383.html
R Gunasekera (CAN),2008-2014,19,19,0,455,72,23.94,677,67.2,0,6,3,http://stats.espncricinfo.com/ci/content/player/307075.html
RR Hendricks (SA),2018-2019,18,18,1,455,102,26.76,591,76.98,1,2,1,http://stats.espncricinfo.com/ci/content/player/269280.html
MD Dai (PNG),2014-2018,18,18,2,454,76*,28.37,585,77.6,0,3,1,http://stats.espncricinfo.com/ci/content/player/25051.html
Minhajul Abedin (BDESH),1986-1999,27,26,2,453,68*,18.87,909,49.83,0,2,3,http://stats.espncricinfo.com/ci/content/player/55971.html
MK Pandey (INDIA),2015-2020,25,20,7,450,104*,34.61,487,92.4,1,2,2,http://stats.espncricinfo.com/ci/content/player/290630.html
Mehrab Hossain (BDESH),1998-2003,18,18,0,449,101,24.94,763,58.84,1,2,2,http://stats.espncricinfo.com/ci/content/player/55970.html
WIA Fernando (SL),2016-2019,15,15,0,447,104,29.8,464,96.33,1,2,2,http://stats.espncricinfo.com/ci/content/player/784369.html
TE Blain (NZ),1986-1994,38,38,11,442,49*,16.37,662,66.76,0,0,6,http://stats.espncricinfo.com/ci/content/player/36297.html
SAR Silva (SL),1984-1985,20,20,0,441,85,22.05,838,52.62,0,3,1,http://stats.espncricinfo.com/ci/content/player/50432.html
GR Viswanath (INDIA),1974-1982,25,23,1,439,75,19.95,830,52.89,0,2,1,http://stats.espncricinfo.com/ci/content/player/35712.html
JP Maher (AUS),1998-2003,26,20,3,438,95,25.76,673,65.08,0,1,1,http://stats.espncricinfo.com/ci/content/player/6462.html
AH Omarshah (ZIM),1983-1996,28,28,2,437,60*,16.8,860,50.81,0,1,4,http://stats.espncricinfo.com/ci/content/player/55680.html
PL Taylor (AUS),1987-1992,83,47,25,437,54*,19.86,583,74.95,0,1,4,http://stats.espncricinfo.com/ci/content/player/7926.html
DN Chudasama (KENYA),1996-1999,20,19,0,434,122,22.84,685,63.35,1,1,2,http://stats.espncricinfo.com/ci/content/player/24692.html
CJ McDermott (AUS),1985-1996,138,78,17,432,37,7.08,492,87.8,0,0,15,http://stats.espncricinfo.com/ci/content/player/6551.html
CJO Smith (SCOT),2006-2009,27,26,4,432,59,19.63,640,67.5,0,2,3,http://stats.espncricinfo.com/ci/content/player/25112.html
Shafiqullah (AFG),2009-2018,24,21,2,430,56,22.63,408,105.39,0,2,4,http://stats.espncricinfo.com/ci/content/player/362603.html
DR Pringle (ENG),1982-1993,44,30,12,425,49*,23.61,616,68.99,0,0,1,http://stats.espncricinfo.com/ci/content/player/18627.html
MN van Wyk (SA),2003-2015,17,17,1,425,82,26.56,617,68.88,0,4,2,http://stats.espncricinfo.com/ci/content/player/47711.html
AK Sharma (INDIA),1988-1993,31,27,6,424,59*,20.19,469,90.4,0,3,2,http://stats.espncricinfo.com/ci/content/player/33943.html
RC Russell (ENG),1987-1998,40,31,7,423,50,17.62,638,66.3,0,1,0,http://stats.espncricinfo.com/ci/content/player/19500.html
AS Hansra (CAN),2010-2014,24,22,4,421,70*,23.38,725,58.06,0,2,2,http://stats.espncricinfo.com/ci/content/player/418615.html
S Prasanna (SL),2011-2019,40,37,3,421,95,12.38,445,94.6,0,2,7,http://stats.espncricinfo.com/ci/content/player/268740.html
SMA Priyanjan (SL),2013-2015,23,20,2,420,74,23.33,522,80.45,0,2,0,http://stats.espncricinfo.com/ci/content/player/233802.html
AR Adams (NZ),2001-2007,42,34,10,419,45,17.45,417,100.47,0,0,1,http://stats.espncricinfo.com/ci/content/player/36192.html
SR Waters (KENYA),2008-2011,20,20,0,419,74,20.95,751,55.79,0,2,2,http://stats.espncricinfo.com/ci/content/player/352894.html
CO Browne (WI),1995-2005,46,32,8,415,46*,17.29,590,70.33,0,0,3,http://stats.espncricinfo.com/ci/content/player/51232.html
Farhad Reza (BDESH),2006-2011,34,31,6,412,50,16.48,636,64.77,0,1,2,http://stats.espncricinfo.com/ci/content/player/55894.html
Usman Ghani (AFG),2014-2017,15,15,0,411,118,27.4,520,79.03,1,2,2,http://stats.espncricinfo.com/ci/content/player/711559.html
GB Brent (ZIM),1996-2008,70,54,20,408,59*,12,698,58.45,0,1,3,http://stats.espncricinfo.com/ci/content/player/55269.html
CB Lambert (USA/WI),1990-2004,12,12,0,407,119,33.91,540,75.37,1,2,1,http://stats.espncricinfo.com/ci/content/player/25635.html
RW Price (ZIM),2002-2012,102,59,17,406,46,9.66,701,57.91,0,0,10,http://stats.espncricinfo.com/ci/content/player/55698.html
IR Bishop (WI),1988-1997,84,44,19,405,33*,16.2,776,52.19,0,0,3,http://stats.espncricinfo.com/ci/content/player/51226.html
EA Brandes (ZIM),1987-1999,59,41,10,404,55,13.03,448,90.17,0,2,3,http://stats.espncricinfo.com/ci/content/player/55267.html
ID Blackwell (ENG),2002-2006,34,29,2,403,82,14.92,465,86.66,0,1,6,http://stats.espncricinfo.com/ci/content/player/9117.html
F Mutizwa (ZIM),2009-2011,17,15,2,403,79,31,502,80.27,0,4,2,http://stats.espncricinfo.com/ci/content/player/55641.html
JP Bray (IRE),2006-2007,15,15,1,401,116,28.64,594,67.5,2,0,2,http://stats.espncricinfo.com/ci/content/player/4433.html
RG de Alwis (SL),1983-1988,31,27,8,401,59*,21.1,512,78.32,0,2,2,http://stats.espncricinfo.com/ci/content/player/48446.html
S Madan Lal (INDIA),1974-1987,67,35,14,401,53*,19.09,645,62.17,0,1,1,http://stats.espncricinfo.com/ci/content/player/30873.html
TBM de Leede (NL),1996-2007,29,25,1,400,58*,16.66,628,63.69,0,2,4,http://stats.espncricinfo.com/ci/content/player/24882.html
WS Jayantha (SL),2004-2004,17,17,2,400,74*,26.66,530,75.47,0,2,2,http://stats.espncricinfo.com/ci/content/player/49347.html
Mushtaq Ahmed (PAK),1989-2003,144,76,34,399,34*,9.5,698,57.16,0,0,10,http://stats.espncricinfo.com/ci/content/player/41316.html
Sohail Tanvir (PAK),2007-2014,62,40,11,399,59,13.75,458,87.11,0,1,3,http://stats.espncricinfo.com/ci/content/player/43265.html
DR Chumney (CAN),2003-2007,21,21,2,397,48,20.89,595,66.72,0,0,0,http://stats.espncricinfo.com/ci/content/player/23767.html
Mohammad Naveed (UAE),2014-2019,39,34,10,397,45,16.54,323,122.91,0,0,2,http://stats.espncricinfo.com/ci/content/player/533862.html
IA Karim (KENYA),2011-2014,9,9,0,396,112,44,522,75.86,2,1,0,http://stats.espncricinfo.com/ci/content/player/348016.html
AB Barath (WI),2010-2012,14,14,1,394,113,30.3,612,64.37,1,1,2,http://stats.espncricinfo.com/ci/content/player/274926.html
Shoaib Akhtar (Asia/ICC/PAK),1998-2011,163,84,40,394,43,8.95,538,73.23,0,0,11,http://stats.espncricinfo.com/ci/content/player/42655.html
T Thushara (SL),2008-2010,38,27,6,392,54*,18.66,424,92.45,0,1,4,http://stats.espncricinfo.com/ci/content/player/49677.html
PJ Ongondo (Afr/KENYA),1999-2011,79,62,19,391,36,9.09,621,62.96,0,0,9,http://stats.espncricinfo.com/ci/content/player/24762.html
Mirwais Ashraf (AFG),2009-2016,46,38,11,387,52*,14.33,543,71.27,0,1,3,http://stats.espncricinfo.com/ci/content/player/387420.html
AF Giles (ENG),1997-2005,62,35,13,385,41,17.5,551,69.87,0,0,2,http://stats.espncricinfo.com/ci/content/player/13368.html
Hannan Sarkar (BDESH),2002-2004,20,20,0,383,61,19.15,713,53.71,0,3,2,http://stats.espncricinfo.com/ci/content/player/55915.html
Sadiq Mohammad (PAK),1973-1980,19,19,1,383,74,21.27,755,50.72,0,2,0,http://stats.espncricinfo.com/ci/content/player/42601.html
Mehidy Hasan Miraz (BDESH),2017-2019,38,24,4,381,51,19.05,498,76.5,0,1,0,http://stats.espncricinfo.com/ci/content/player/629063.html
MH Dekker (ZIM),1992-1996,23,22,2,379,79,18.95,798,47.49,0,2,0,http://stats.espncricinfo.com/ci/content/player/55367.html
DM Wellham (AUS),1981-1987,17,17,2,379,97,25.26,699,54.22,0,1,0,http://stats.espncricinfo.com/ci/content/player/8198.html
S Bau (PNG),2016-2019,21,21,1,378,59,18.9,602,62.79,0,1,4,http://stats.espncricinfo.com/ci/content/player/420427.html
U Bhatti (CAN),2006-2010,36,30,8,378,46,17.18,513,73.68,0,0,2,http://stats.espncricinfo.com/ci/content/player/23865.html
GF Lawson (AUS),1980-1989,79,52,18,378,33*,11.11,500,75.6,0,0,9,http://stats.espncricinfo.com/ci/content/player/6272.html
MR Ramprakash (ENG),1991-2001,18,18,4,376,51,26.85,544,69.11,0,1,0,http://stats.espncricinfo.com/ci/content/player/19323.html
Al Sahariar (BDESH),1999-2003,29,29,1,374,62*,13.35,709,52.75,0,2,6,http://stats.espncricinfo.com/ci/content/player/56219.html
CC Lewis (ENG),1990-1998,53,40,14,374,33,14.38,459,81.48,0,0,6,http://stats.espncricinfo.com/ci/content/player/16274.html
RR Pant (INDIA),2018-2020,16,14,0,374,71,26.71,361,103.6,0,1,1,http://stats.espncricinfo.com/ci/content/player/931581.html
SMH Kirmani (INDIA),1976-1986,49,31,13,373,48*,20.72,616,60.55,0,0,2,http://stats.espncricinfo.com/ci/content/player/30116.html
DS de Silva (SL),1975-1985,41,29,10,371,37*,19.52,691,53.69,0,0,0,http://stats.espncricinfo.com/ci/content/player/48454.html
S Chattergoon (WI),2006-2009,18,17,2,370,54*,24.66,615,60.16,0,2,2,http://stats.espncricinfo.com/ci/content/player/51492.html
PJ Forrest (AUS),2012-2012,15,14,0,368,104,26.28,561,65.59,1,3,2,http://stats.espncricinfo.com/ci/content/player/232285.html
SW Ambris (WI),2017-2020,10,9,2,367,148,52.42,366,100.27,1,1,0,http://stats.espncricinfo.com/ci/content/player/348054.html
DW Steyn (Afr/SA),2005-2019,125,51,12,365,60,9.35,562,64.94,0,1,8,http://stats.espncricinfo.com/ci/content/player/47492.html
WM Darling (AUS),1978-1982,18,18,1,363,74,21.35,679,53.46,0,1,0,http://stats.espncricinfo.com/ci/content/player/4900.html
Mohammad Amir (PAK),2009-2019,61,30,10,363,73*,18.15,444,81.75,0,2,5,http://stats.espncricinfo.com/ci/content/player/290948.html
SP Narine (WI),2011-2016,65,45,12,363,36,11,441,82.31,0,0,8,http://stats.espncricinfo.com/ci/content/player/230558.html
SS Karim (INDIA),1997-2000,34,27,4,362,55,15.73,560,64.64,0,1,2,http://stats.espncricinfo.com/ci/content/player/30042.html
R Rampaul (WI),2003-2015,92,40,11,362,86*,12.48,472,76.69,0,1,3,http://stats.espncricinfo.com/ci/content/player/52912.html
Shahriar Hossain (BDESH),1997-2004,20,19,0,362,95,19.05,682,53.07,0,2,4,http://stats.espncricinfo.com/ci/content/player/56104.html
Asif Ali (PAK),2018-2019,18,14,1,361,52,27.76,280,128.92,0,3,0,http://stats.espncricinfo.com/ci/content/player/494230.html
DG Brownlie (NZ),2012-2017,16,15,1,361,63,25.78,486,74.27,0,1,0,http://stats.espncricinfo.com/ci/content/player/4493.html
Hazratullah Zazai (AFG),2018-2019,16,16,0,361,67,22.56,409,88.26,0,2,1,http://stats.espncricinfo.com/ci/content/player/793457.html
WK McCallan (IRE),2006-2009,39,28,10,361,50*,20.05,419,86.15,0,1,5,http://stats.espncricinfo.com/ci/content/player/24251.html
RC Irani (ENG),1996-2003,31,30,5,360,53,14.4,549,65.57,0,1,7,http://stats.espncricinfo.com/ci/content/player/15403.html
Mushfiqur Rahman (BDESH),2000-2004,28,25,3,360,49,16.36,690,52.17,0,0,4,http://stats.espncricinfo.com/ci/content/player/55976.html
BJ Patel (KENYA),2001-2006,31,25,3,360,44,16.36,736,48.91,0,0,4,http://stats.espncricinfo.com/ci/content/player/24776.html
Chirag Suri (UAE),2018-2020,17,17,0,355,67,20.88,635,55.9,0,2,3,http://stats.espncricinfo.com/ci/content/player/534734.html
AD Brown (ENG),1996-2001,16,16,0,354,118,22.12,427,82.9,1,1,2,http://stats.espncricinfo.com/ci/content/player/9246.html
ADS Fletcher (WI),2008-2016,25,25,0,354,54,14.16,549,64.48,0,2,3,http://stats.espncricinfo.com/ci/content/player/51862.html
MA Starc (AUS),2010-2020,88,48,18,354,52*,11.8,403,87.84,0,1,8,http://stats.espncricinfo.com/ci/content/player/311592.html
Nasir Jamal (AFG),2014-2018,16,14,1,352,53,27.07,537,65.54,0,3,1,http://stats.espncricinfo.com/ci/content/player/524048.html
Wajahatullah Wasti (PAK),1999-2000,15,15,0,349,84,23.26,713,48.94,0,1,1,http://stats.espncricinfo.com/ci/content/player/43539.html
Aaron Jones (USA),2019-2019,9,9,0,348,95,38.66,521,66.79,0,3,1,http://stats.espncricinfo.com/ci/content/player/957645.html
Zahid Fazal (PAK),1990-1994,19,18,3,348,98*,23.2,584,59.58,0,2,0,http://stats.espncricinfo.com/ci/content/player/43697.html
RDB Croft (ENG),1996-2001,50,36,12,345,32,14.37,519,66.47,0,0,4,http://stats.espncricinfo.com/ci/content/player/10881.html
Ashfaq Ahmed (UAE),2018-2019,16,16,0,344,92,21.5,387,88.88,0,2,1,http://stats.espncricinfo.com/ci/content/player/39940.html
GP Wickramasinghe (SL),1990-2002,134,64,24,344,32,8.6,543,63.35,0,0,12,http://stats.espncricinfo.com/ci/content/player/50848.html
DNT Zoysa (SL),1997-2007,95,47,21,343,47*,13.19,358,95.81,0,0,5,http://stats.espncricinfo.com/ci/content/player/51050.html
HH Kanitkar (INDIA),1997-2000,34,27,8,339,57,17.84,512,66.21,0,1,2,http://stats.espncricinfo.com/ci/content/player/30018.html
M Vijay (INDIA),2010-2015,17,16,0,339,72,21.18,506,66.99,0,1,0,http://stats.espncricinfo.com/ci/content/player/237095.html
BE Congdon (NZ),1973-1978,11,9,3,338,101,56.33,472,71.61,1,2,0,http://stats.espncricinfo.com/ci/content/player/36611.html
CM Old (ENG),1973-1981,32,25,7,338,51*,18.77,401,84.28,0,1,4,http://stats.espncricinfo.com/ci/content/player/18256.html
Shadab Khan (PAK),2017-2019,43,22,9,337,54,25.92,491,68.63,0,3,2,http://stats.espncricinfo.com/ci/content/player/922943.html
MG Burgess (NZ),1973-1981,26,20,0,336,47,16.8,515,65.24,0,0,1,http://stats.espncricinfo.com/ci/content/player/36314.html
NM Hauritz (AUS),2002-2011,58,32,17,336,53*,22.4,349,96.27,0,1,0,http://stats.espncricinfo.com/ci/content/player/5593.html
SD Outerbridge (BMUDA),2006-2009,23,23,0,336,56,14.6,612,54.9,0,1,4,http://stats.espncricinfo.com/ci/content/player/23704.html
Tapash Baisya (BDESH),2002-2007,56,41,13,336,35*,12,576,58.33,0,0,4,http://stats.espncricinfo.com/ci/content/player/56176.html
SS Pathirana (SL),2015-2017,18,14,1,332,56,25.53,383,86.68,0,1,0,http://stats.espncricinfo.com/ci/content/player/212756.html
KA Edwards (WI),2011-2014,16,16,2,331,123*,23.64,494,67,1,0,3,http://stats.espncricinfo.com/ci/content/player/51786.html
Manjural Islam Rana (BDESH),2003-2006,25,21,5,331,63,20.68,668,49.55,0,1,1,http://stats.espncricinfo.com/ci/content/player/55991.html
S Mukuddem (BMUDA),2006-2007,20,18,4,331,57,23.64,650,50.92,0,1,2,http://stats.espncricinfo.com/ci/content/player/23755.html
Adnan Mufti (UAE),2017-2018,18,16,4,330,57*,27.5,409,80.68,0,1,0,http://stats.espncricinfo.com/ci/content/player/281653.html
Asif Iqbal (PAK),1973-1979,10,8,2,330,62,55,466,70.81,0,5,0,http://stats.espncricinfo.com/ci/content/player/39010.html
ZE Surkari (CAN),2008-2011,23,22,3,328,49,17.26,656,50,0,0,1,http://stats.espncricinfo.com/ci/content/player/23803.html
DJ Capel (ENG),1987-1990,23,19,2,327,50*,19.23,479,68.26,0,1,0,http://stats.espncricinfo.com/ci/content/player/10653.html
MH Yardy (ENG),2006-2011,28,24,8,326,60*,20.37,472,69.06,0,2,1,http://stats.espncricinfo.com/ci/content/player/23523.html
ML Nkala (ZIM),1998-2006,50,35,5,324,47,10.8,526,61.59,0,0,5,http://stats.espncricinfo.com/ci/content/player/55663.html
Saeed Ajmal (PAK),2008-2015,113,70,24,324,33,7.04,535,60.56,0,0,11,http://stats.espncricinfo.com/ci/content/player/42699.html
RP Snell (SA),1991-1996,42,28,8,322,63,16.1,330,97.57,0,2,1,http://stats.espncricinfo.com/ci/content/player/47215.html
KJJ van Noortwijk (NL),1996-2003,9,9,2,322,134*,46,428,75.23,1,1,1,http://stats.espncricinfo.com/ci/content/player/24974.html
Anwar Ali (PAK),2013-2016,22,16,5,321,43*,29.18,367,87.46,0,0,0,http://stats.espncricinfo.com/ci/content/player/232491.html
CA Walsh (WI),1985-2000,205,79,33,321,30,6.97,451,71.17,0,0,11,http://stats.espncricinfo.com/ci/content/player/53216.html
RB McCosker (AUS),1975-1982,14,14,0,320,95,22.85,623,51.36,0,2,2,http://stats.espncricinfo.com/ci/content/player/6547.html
Aqib Ilyas (OMAN),2019-2020,7,7,1,319,80*,53.16,393,81.17,0,3,0,http://stats.espncricinfo.com/ci/content/player/940593.html
DR Brown (ENG/SCOT),1997-2007,25,24,6,319,50*,17.72,481,66.32,0,1,3,http://stats.espncricinfo.com/ci/content/player/9254.html
HP Rinke (ZIM),2006-2006,18,18,0,317,72,17.61,378,83.86,0,3,2,http://stats.espncricinfo.com/ci/content/player/55737.html
Faisal Iqbal (PAK),2000-2006,18,16,2,314,100*,22.42,519,60.5,1,0,3,http://stats.espncricinfo.com/ci/content/player/40088.html
NAM McLean (WI),1996-2003,45,34,8,314,50*,12.07,383,81.98,0,1,7,http://stats.espncricinfo.com/ci/content/player/52430.html
Mohammad Sami (PAK),2001-2015,87,46,19,314,46,11.62,490,64.08,0,0,5,http://stats.espncricinfo.com/ci/content/player/41324.html
B Wood (ENG),1972-1982,13,12,2,314,78*,31.4,647,48.53,0,2,1,http://stats.espncricinfo.com/ci/content/player/22498.html
VV Morea (PNG),2014-2018,13,13,1,313,65*,26.08,460,68.04,0,3,1,http://stats.espncricinfo.com/ci/content/player/387435.html
RC Fredericks (WI),1973-1977,12,12,0,311,105,25.91,440,70.68,1,1,0,http://stats.espncricinfo.com/ci/content/player/51797.html
BR Hartland (NZ),1992-1994,16,16,1,311,68*,20.73,623,49.91,0,2,1,http://stats.espncricinfo.com/ci/content/player/37235.html
N Chopra (INDIA),1998-2000,39,26,6,310,61,15.5,498,62.24,0,1,1,http://stats.espncricinfo.com/ci/content/player/27641.html
BC Hollioake (ENG),1997-2002,20,17,2,309,63,20.6,381,81.1,0,2,3,http://stats.espncricinfo.com/ci/content/player/14246.html
Nafees Iqbal (BDESH),2003-2005,16,16,0,309,58,19.31,568,54.4,0,2,1,http://stats.espncricinfo.com/ci/content/player/56064.html
KAJ Roach (WI),2008-2019,92,57,34,308,34,13.39,576,53.47,0,0,8,http://stats.espncricinfo.com/ci/content/player/230553.html
Ihsanullah (AFG),2017-2018,16,16,2,307,57*,21.92,440,69.77,0,3,2,http://stats.espncricinfo.com/ci/content/player/703323.html
DM Benkenstein (SA),1998-2002,23,20,3,305,69,17.94,463,65.87,0,1,3,http://stats.espncricinfo.com/ci/content/player/44070.html
TK Musakanda (ZIM),2016-2018,15,15,1,304,60,21.71,382,79.58,0,1,1,http://stats.espncricinfo.com/ci/content/player/596375.html
LE Bosman (Afr/SA),2006-2010,14,12,0,301,88,25.08,305,98.68,0,2,2,http://stats.espncricinfo.com/ci/content/player/44098.html
CMW Read (ENG),2000-2006,36,24,7,300,30*,17.64,410,73.17,0,0,4,http://stats.espncricinfo.com/ci/content/player/19346.html
JP Kotze (NAM),2019-2020,8,8,0,299,136,37.37,337,88.72,1,0,0,http://stats.espncricinfo.com/ci/content/player/541991.html
WKM Benjamin (WI),1986-1995,85,52,12,298,31,7.45,406,73.39,0,0,10,http://stats.espncricinfo.com/ci/content/player/51220.html
